emp_no,first_name,last_name,to_date
10001,Georgi,Facello,9999-01-01
10004,Chirstian,Koblick,9999-01-01
10009,Sumant,Peac,9999-01-01
10018,Kazuhide,Peha,9999-01-01
10035,Alain,Chappelet,9999-01-01
10053,Sanjiv,Zschoche,9999-01-01
10058,Berhard,McFarlin,9999-01-01
10066,Kwee,Schusler,9999-01-01
10067,Claudi,Stavenow,9999-01-01
10072,Hironoby,Sidou,9999-01-01
10088,Jungsoon,Syrzycki,9999-01-01
10100,Hironobu,Haraldson,9999-01-01
10116,Dayanand,Czap,9999-01-01
10129,Armond,Peir,9999-01-01
10130,Nishit,Casperson,9999-01-01
10134,Diederik,Siprelle,9999-01-01
10149,Xiadong,Perry,9999-01-01
10152,Jaques,Munro,9999-01-01
10153,Heekeun,Majewski,9999-01-01
10157,Nigel,Aloisi,9999-01-01
10186,Shigehito,Kropatsch,9999-01-01
10198,Pranav,Furedi,9999-01-01
10217,Yongmin,Roison,9999-01-01
10224,Leon,Trogemann,9999-01-01
10233,Lein,Vendrig,9999-01-01
10272,Yishai,Cannane,9999-01-01
10282,Hercules,Benzmuller,9999-01-01
10283,Kauko,Birjandi,9999-01-01
10302,Faiza,Baer,9999-01-01
10305,Hirochika,Piancastelli,9999-01-01
10326,Masali,Czap,9999-01-01
10327,Roded,Facello,9999-01-01
10340,Djelloul,Laventhal,9999-01-01
10347,Pradeep,Kaminger,9999-01-01
10355,Satyanarayana,Cochrane,9999-01-01
10356,Vasilis,Standera,9999-01-01
10363,Toshiki,Muniz,9999-01-01
10364,Nakhoon,Dengi,9999-01-01
10372,Anneli,Frijda,9999-01-01
10387,Parto,Wrigley,9999-01-01
10395,Takahiro,Deverell,9999-01-01
10396,Sibyl,Rahier,9999-01-01
10402,Volkmar,Ebeling,9999-01-01
10404,Prodip,Rosti,9999-01-01
10426,Arunas,Luce,9999-01-01
10429,Martien,Improta,9999-01-01
10451,Bodh,Ranta,9999-01-01
10453,Tsvetan,Matzel,9999-01-01
10466,Jiakeng,Himler,9999-01-01
10486,Amstein,Kossowski,9999-01-01
10494,Yakkov,Servieres,9999-01-01
10504,Xiong,Varker,9999-01-01
10512,Udi,Gihr,9999-01-01
10519,Yonghoan,Alencar,9999-01-01
10522,Marke,Cesareni,9999-01-01
10541,Godehard,Eiter,9999-01-01
10548,Ramalingam,Gunderson,9999-01-01
10564,Jianhao,Thisen,9999-01-01
10575,Theirry,Yeung,9999-01-01
10591,Hidde,Hettesheimer,9999-01-01
10608,Adhemar,Talmor,9999-01-01
10617,Hidekazu,Angel,9999-01-01
10623,Aleksander,Danlos,9999-01-01
10628,Krisda,Krogh,9999-01-01
10631,Inderjeet,Chaudhuri,9999-01-01
10642,Hirochika,Narlikar,9999-01-01
10653,Otmar,Feinberg,9999-01-01
10672,Bluma,Zeilberger,9999-01-01
10676,Valeri,Danley,9999-01-01
10693,Berhard,Daescu,9999-01-01
10702,Bader,Szemeredi,9999-01-01
10718,Adib,Rullman,9999-01-01
10726,Zita,Minakawa,9999-01-01
10731,Fumitaka,Peak,9999-01-01
10745,Poorav,Ranze,9999-01-01
10749,King,Brendel,9999-01-01
10751,Jordanka,Ushiama,9999-01-01
10767,Monique,Doering,9999-01-01
10768,Ishfaq,Candan,9999-01-01
