emp_no,first_name,last_name,gender,salary,to_date
10001,Georgi,Facello,M,60117,9999-01-01
10186,Shigehito,Kropatsch,M,40000,9999-01-01
10198,Pranav,Furedi,M,44076,9999-01-01
10217,Yongmin,Roison,F,40000,9999-01-01
10224,Leon,Trogemann,M,40000,9999-01-01
10233,Lein,Vendrig,F,40000,9999-01-01
10272,Yishai,Cannane,M,58070,9999-01-01
10282,Hercules,Benzmuller,M,40000,9999-01-01
10283,Kauko,Birjandi,M,40000,9999-01-01
10302,Faiza,Baer,F,58239,9999-01-01
10305,Hirochika,Piancastelli,M,52550,9999-01-01
10326,Masali,Czap,F,40000,9999-01-01
10327,Roded,Facello,M,54734,9999-01-01
10340,Djelloul,Laventhal,M,68132,9999-01-01
10347,Pradeep,Kaminger,M,42199,9999-01-01
10355,Satyanarayana,Cochrane,M,70434,9999-01-01
10356,Vasilis,Standera,M,45376,9999-01-01
10363,Toshiki,Muniz,F,40401,9999-01-01
10364,Nakhoon,Dengi,M,51401,9999-01-01
10372,Anneli,Frijda,F,54505,9999-01-01
10387,Parto,Wrigley,F,61374,9999-01-01
10395,Takahiro,Deverell,M,42774,9999-01-01
10396,Sibyl,Rahier,M,40393,9999-01-01
10402,Volkmar,Ebeling,M,40000,9999-01-01
10404,Prodip,Rosti,F,51647,9999-01-01
10426,Arunas,Luce,F,65757,9999-01-01
10429,Martien,Improta,F,40000,9999-01-01
10451,Bodh,Ranta,F,46275,9999-01-01
10453,Tsvetan,Matzel,F,40000,9999-01-01
10466,Jiakeng,Himler,M,55318,9999-01-01
10486,Amstein,Kossowski,F,71692,9999-01-01
10494,Yakkov,Servieres,F,50094,9999-01-01
10504,Xiong,Varker,M,43931,9999-01-01
10512,Udi,Gihr,M,40000,9999-01-01
10519,Yonghoan,Alencar,F,40000,9999-01-01
10522,Marke,Cesareni,F,40000,9999-01-01
10541,Godehard,Eiter,M,50741,9999-01-01
10548,Ramalingam,Gunderson,M,90631,9999-01-01
10004,Chirstian,Koblick,M,40054,9999-01-01
10009,Sumant,Peac,F,60929,9999-01-01
10564,Jianhao,Thisen,M,46660,9999-01-01
10018,Kazuhide,Peha,F,55881,9999-01-01
10575,Theirry,Yeung,M,40523,9999-01-01
10035,Alain,Chappelet,M,41538,9999-01-01
10591,Hidde,Hettesheimer,F,55131,9999-01-01
10053,Sanjiv,Zschoche,F,67854,9999-01-01
10608,Adhemar,Talmor,F,40000,9999-01-01
