emp_no,first_name,last_name,birth_date,from_date,to_date,title
10122,Ohad,Esposito,1965-01-19,1988-12-19,9999-01-01,Staff
10291,Dipayan,Seghrouchni,1965-01-23,1997-07-16,9999-01-01,Senior Engineer
10410,Takahito,Gecsei,1965-01-19,1985-07-30,9999-01-01,Engineer
10476,Kokou,Iisaka,1965-01-01,1987-10-08,9999-01-01,Staff
10480,Make,Baba,1965-01-25,1996-06-08,9999-01-01,Engineer
11015,Jeanna,Riesenhuber,1965-01-24,1992-02-24,9999-01-01,Senior Engineer
11126,Hideo,Daescu,1965-01-08,1998-02-02,9999-01-01,Staff
11157,Mario,Cochrane,1965-02-01,1995-05-12,9999-01-01,Senior Staff
11432,Yongmao,Zwicker,1965-01-15,1995-11-08,9999-01-01,Senior Engineer
12155,Keiichiro,Glinert,1965-01-21,1989-10-14,9999-01-01,Engineer
12408,Rasiah,Sudkamp,1965-01-10,1990-02-05,9999-01-01,Engineer
12643,Morrie,Schurmann,1965-01-30,1987-09-13,9999-01-01,Senior Engineer
13957,Angus,Chelton,1965-01-10,1987-09-09,9999-01-01,Staff
14075,Denny,Tchuente,1965-01-03,1994-08-23,9999-01-01,Engineer
14104,Sudhanshu,Demian,1965-01-03,1993-10-09,9999-01-01,Engineer
14127,Magdalena,Cannard,1965-01-10,2001-03-12,9999-01-01,Senior Staff
14158,Caolyn,Setiz,1965-01-22,2001-08-25,9999-01-01,Technique Leader
14476,Sastry,Marrevee,1965-01-19,1991-05-01,9999-01-01,Senior Engineer
14551,Richard,Sinitsyn,1965-01-18,1997-04-05,9999-01-01,Engineer
14907,Nakhoon,Luga,1965-01-14,1997-11-12,9999-01-01,Senior Staff
15050,Nikolaos,Kruskal,1965-01-18,1994-09-14,9999-01-01,Technique Leader
15058,Bouchung,Bugrara,1965-01-30,1994-10-09,9999-01-01,Senior Engineer
15376,Geoff,Soicher,1965-01-10,1993-02-16,9999-01-01,Senior Engineer
15413,Arvin,Rabejac,1965-01-17,1995-11-27,9999-01-01,Senior Staff
16461,Remmert,Schahn,1965-01-14,1995-09-10,9999-01-01,Senior Staff
16528,Gaurav,Swick,1965-01-21,1993-07-10,9999-01-01,Engineer
17013,Morris,Garigliano,1965-01-15,1993-03-28,9999-01-01,Engineer
17447,Zengping,Boreale,1965-01-11,2001-10-26,9999-01-01,Senior Staff
17618,Teiji,Picco,1965-01-12,1995-11-08,9999-01-01,Senior Staff
17731,Gennady,Roison,1965-01-16,1999-04-08,9999-01-01,Engineer
17970,Filipp,Carrere,1965-01-06,1994-03-20,9999-01-01,Staff
17988,Mabhin,Calkin,1965-01-31,1992-03-10,9999-01-01,Senior Engineer
18021,Adil,Matzke,1965-01-07,1997-04-08,9999-01-01,Engineer
18187,Denis,Falster,1965-01-08,1993-07-30,9999-01-01,Staff
18424,Filipp,Rousseau,1965-01-19,1998-08-20,9999-01-01,Senior Engineer
18583,Stafford,Honglei,1965-01-03,1997-10-04,9999-01-01,Engineer
19350,Satoru,Yoshizawa,1965-01-19,1994-02-21,9999-01-01,Senior Staff
19803,Ziva,Kowalchuk,1965-01-30,1990-09-24,9999-01-01,Senior Engineer
20100,Utz,Heuter,1965-01-18,1989-05-31,9999-01-01,Staff
